Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1663977600000,2022-09-24,WAVESUSDT,4.018,4.044,3.917,3.939,1655468.12,6623591.77659,21055
1663891200000,2022-09-23,WAVESUSDT,4.033,4.114,3.86,4.017,2877443.96,11450993.51556,36218
1663804800000,2022-09-22,WAVESUSDT,3.846,4.066,3.844,4.031,2810167.7,11164603.08046,34097
1663718400000,2022-09-21,WAVESUSDT,3.923,4.197,3.789,3.849,4390391.1,17398090.43199,55732
1663632000000,2022-09-20,WAVESUSDT,4.016,4.04,3.863,3.923,2407895.97,9532531.32143,30085
1663545600000,2022-09-19,WAVESUSDT,3.893,4.046,3.739,4.017,4607078.99,17831488.6844,68519
1663459200000,2022-09-18,WAVESUSDT,4.371,4.374,3.659,3.894,3722936.06,15139665.70602,62561
1663372800000,2022-09-17,WAVESUSDT,4.306,4.379,4.265,4.37,1918794.42,8282357.89718,25545
1663286400000,2022-09-16,WAVESUSDT,4.223,4.355,4.169,4.306,2637683.28,11237171.35087,41548
1663200000000,2022-09-15,WAVESUSDT,4.439,4.446,4.191,4.224,3608660.41,15556168.82022,59909
1663113600000,2022-09-14,WAVESUSDT,4.367,4.457,4.291,4.441,2305685.44,10133224.97731,40904
1663027200000,2022-09-13,WAVESUSDT,4.851,4.861,4.344,4.367,4931454.18,22695992.69448,88855
1662940800000,2022-09-12,WAVESUSDT,4.91,5.013,4.679,4.851,4710150.42,22881454.85446,81531
1662854400000,2022-09-11,WAVESUSDT,4.956,5.176,4.815,4.913,5654047.73,28134762.3487,87476
1662768000000,2022-09-10,WAVESUSDT,4.711,5.266,4.66,4.955,10490870.27,52199302.49802,157126
1662681600000,2022-09-09,WAVESUSDT,4.465,4.784,4.453,4.711,3760110.53,17463644.31641,55775
1662595200000,2022-09-08,WAVESUSDT,4.412,4.483,4.321,4.464,2165827.29,9528492.33307,31887
1662508800000,2022-09-07,WAVESUSDT,4.267,4.45,4.16,4.411,1894111.45,8165475.51286,30854
1662422400000,2022-09-06,WAVESUSDT,4.585,4.694,4.209,4.264,4217235.05,18820125.66988,71591
