Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1617235200000,2021-04-01,HOTUSDT,0.0167518,0.0183697,0.0165,0.0173532,15475951097.0,269322360.5695564,523929
1617148800000,2021-03-31,HOTUSDT,0.0181281,0.019499,0.0151112,0.0167518,32231943311.000004,554167498.5374876,1094854
1617062400000,2021-03-30,HOTUSDT,0.0130084,0.0206226,0.0124905,0.0181274,63723594344.0,1077276784.6881833,1853721
1616976000000,2021-03-29,HOTUSDT,0.0101879,0.01345,0.01003,0.0129999,35484346456.0,427154849.7336649,741035
1616889600000,2021-03-28,HOTUSDT,0.009994,0.010675,0.00975,0.0101872,12628604955.0,127528983.5442434,306257
1616803200000,2021-03-27,HOTUSDT,0.0104099,0.01155,0.00965,0.0099946,31541473439.000004,327026792.8448163,611182
1616716800000,2021-03-26,HOTUSDT,0.0077746,0.0113705,0.0076666,0.0104099,35897944935.0,331170935.310566,600138
1616630400000,2021-03-25,HOTUSDT,0.0072462,0.0085,0.0067504,0.0077737,15788525050.0,121450569.9646527,291619
1616544000000,2021-03-24,HOTUSDT,0.0076378,0.0084,0.00705,0.0072311,13220233533.0,102595072.8956395,270856
1616457600000,2021-03-23,HOTUSDT,0.00742,0.00865,0.00681,0.0076374,12687695378.0,96102630.5108892,255088
1616371200000,2021-03-22,HOTUSDT,0.007992,0.0082227,0.006975,0.00742,10149565177.0,78712436.5819344,221361
1616284800000,2021-03-21,HOTUSDT,0.0077199,0.0084359,0.0074162,0.0080067,13493205448.0,107186909.5378032,245805
1616198400000,2021-03-20,HOTUSDT,0.0081599,0.0091111,0.0076918,0.0077178,19504758055.0,164070599.8309103,356217
1616112000000,2021-03-19,HOTUSDT,0.0071408,0.0088618,0.007,0.00815,26583226998.0,212923469.1873304,415974
1616025600000,2021-03-18,HOTUSDT,0.0071513,0.0076627,0.0069412,0.0071323,12679113922.0,91567631.1617209,238275
1615939200000,2021-03-17,HOTUSDT,0.0068359,0.0085,0.006462,0.0071676,26462909379.000004,195413852.3511578,448161
1615852800000,2021-03-16,HOTUSDT,0.0071082,0.0079339,0.0056603,0.0068416,36039356359.0,243722834.64874488,512923
1615766400000,2021-03-15,HOTUSDT,0.0073069,0.0095384,0.0068213,0.00708,65673289044.0,548127076.2790804,958431
1615680000000,2021-03-14,HOTUSDT,0.0046279,0.0087,0.0044086,0.0072737,79976332633.0,506710791.4943447,950826
1615593600000,2021-03-13,HOTUSDT,0.0029597,0.0056556,0.0028657,0.004619,60429209352.0,272346764.4452969,613072
1615507200000,2021-03-12,HOTUSDT,0.0031427,0.0032146,0.0027846,0.0029625,6570855010.0,19959225.347297,95068
1615420800000,2021-03-11,HOTUSDT,0.0030904,0.0032828,0.0030091,0.0031403,6190583496.0,19383093.0009286,92687
1615334400000,2021-03-10,HOTUSDT,0.0031299,0.0033693,0.0029868,0.0030958,11984997260.0,38233096.7588134,154555
1615248000000,2021-03-09,HOTUSDT,0.0030005,0.0034999,0.0029702,0.0031371,11075246017.0,34777972.3276176,136404
1615161600000,2021-03-08,HOTUSDT,0.0030334,0.00316,0.0029261,0.0030073,5946729148.0,17913495.3807735,74365
1615075200000,2021-03-07,HOTUSDT,0.0029851,0.00328,0.0029192,0.0030384,6916670190.0,21226975.0679539,81344
1614988800000,2021-03-06,HOTUSDT,0.0030274,0.0032958,0.0028781,0.0029855,10724927455.0,32677885.9566643,120873
1614902400000,2021-03-05,HOTUSDT,0.0024918,0.0035,0.00235,0.0030274,19951213563.0,60395914.6079726,179585
1614816000000,2021-03-04,HOTUSDT,0.0026859,0.0027485,0.002275,0.0024918,5459360499.0,13997471.6725152,65111
1614729600000,2021-03-03,HOTUSDT,0.0026749,0.00295,0.002619,0.0026857,5360253497.0,14818060.2556135,70697
1614643200000,2021-03-02,HOTUSDT,0.0028137,0.0028485,0.0025214,0.0026748,5182574724.0,13985270.7570402,66372
1614556800000,2021-03-01,HOTUSDT,0.0024373,0.0029999,0.0024258,0.002807,8795059543.0,24664468.992988,106705
1614470400000,2021-02-28,HOTUSDT,0.0026471,0.0026599,0.002175,0.0024256,8490470959.0,20402167.0121189,81177
1614384000000,2021-02-27,HOTUSDT,0.0028117,0.0029758,0.00255,0.0026422,5833726935.0,16218410.3539056,72677
1614297600000,2021-02-26,HOTUSDT,0.0029685,0.0030491,0.0026215,0.0028118,7641668531.0,21917261.812161,85634
1614211200000,2021-02-25,HOTUSDT,0.0031465,0.003345,0.0029232,0.0029679,7965825451.0,25207037.976879,96203
1614124800000,2021-02-24,HOTUSDT,0.0030129,0.00363,0.0028,0.0031333,13049897406.0,42401091.5356255,141866
1614038400000,2021-02-23,HOTUSDT,0.0034251,0.0034978,0.0021046,0.0030186,23133921122.0,67976369.3072368,182389
1613952000000,2021-02-22,HOTUSDT,0.0037802,0.0038,0.0025111,0.0034332,28117073636.0,94051818.4129386,267465
1613865600000,2021-02-21,HOTUSDT,0.002274,0.00424,0.0021292,0.00378,60405107052.0,195220822.6800282,422864
1613779200000,2021-02-20,HOTUSDT,0.0018535,0.00268,0.0017533,0.0022773,32684339920.0,74846247.1714778,235026
1613692800000,2021-02-19,HOTUSDT,0.0014934,0.0020773,0.00146,0.0018465,16969496950.0,30115186.2395031,122601
1613606400000,2021-02-18,HOTUSDT,0.0015423,0.00157,0.001415,0.0014987,9649479124.0,14445644.3863414,69599
1613520000000,2021-02-17,HOTUSDT,0.0012888,0.0015887,0.001235,0.0015463,18464828158.0,27090620.8063647,90764
1613433600000,2021-02-16,HOTUSDT,0.0012964,0.0013749,0.0012368,0.0012916,5814929186.0,7581067.3427865,40802
1613347200000,2021-02-15,HOTUSDT,0.0012828,0.00142,0.001125,0.0012961,6131700594.0,7834371.6938237,48580
1613260800000,2021-02-14,HOTUSDT,0.0013938,0.0014168,0.0012279,0.0012804,5211739887.0,6952375.3869615,44400
1613174400000,2021-02-13,HOTUSDT,0.0014042,0.001465,0.001255,0.0013934,8518614771.0,11863999.2215313,64268
1613088000000,2021-02-12,HOTUSDT,0.001292,0.0015968,0.0012136,0.0014056,15661891213.0,21548883.227016,89077
1613001600000,2021-02-11,HOTUSDT,0.0011202,0.00145,0.001092,0.001292,14556626887.0,18734444.7342708,85526
1612915200000,2021-02-10,HOTUSDT,0.001196,0.0012729,0.00102,0.0011239,12052871676.0,13763634.1016288,60157
1612828800000,2021-02-09,HOTUSDT,0.001128,0.0015,0.00105,0.001196,29945537295.000004,38084443.3108524,136522
1612742400000,2021-02-08,HOTUSDT,0.0008,0.0013616,0.0007817,0.001128,41131375759.0,43736956.7253394,128949
1612656000000,2021-02-07,HOTUSDT,0.0007912,0.0008279,0.0007693,0.0008,4957762788.0,3948638.5777734,27851
1612569600000,2021-02-06,HOTUSDT,0.0008202,0.000829,0.0007812,0.0007917,4080927393.0,3277962.7854482,21486
1612483200000,2021-02-05,HOTUSDT,0.0007813,0.00083,0.0007779,0.0008201,5485592455.0,4447708.6653359,25766
1612396800000,2021-02-04,HOTUSDT,0.0008061,0.0008216,0.0007687,0.000781,4861452447.0,3843707.1057695,22261
1612310400000,2021-02-03,HOTUSDT,0.0007932,0.0008436,0.0007795,0.0008064,6893838889.0,5535479.5365706,28846
1612224000000,2021-02-02,HOTUSDT,0.0007566,0.0008563,0.000739,0.0007934,6383699123.0,4997048.3294703,25408
1612137600000,2021-02-01,HOTUSDT,0.0007522,0.0007839,0.0007308,0.0007557,3974123679.0,2998219.1934927,16144
1612051200000,2021-01-31,HOTUSDT,0.0007772,0.0007942,0.0007401,0.0007528,3932289339.0,3007116.3231162,18688
1611964800000,2021-01-30,HOTUSDT,0.0008071,0.0009177,0.0007501,0.0007772,9366714392.0,7679120.9873099,40055
1611878400000,2021-01-29,HOTUSDT,0.0007502,0.001039,0.0007011,0.0008071,19366868571.0,16240041.5198177,64005
1611792000000,2021-01-28,HOTUSDT,0.0006254,0.0008288,0.0006164,0.0007498,10719680019.0,7908439.1599297,32919
1611705600000,2021-01-27,HOTUSDT,0.0006716,0.000674,0.00061,0.0006255,1515001165.0,963069.8863157,7972
1611619200000,2021-01-26,HOTUSDT,0.0006619,0.0006742,0.0006401,0.000671,1462064574.0,964264.6844274,8143
1611532800000,2021-01-25,HOTUSDT,0.0006926,0.0006987,0.000653,0.0006618,1948655027.0,1329450.1760916,10329
1611446400000,2021-01-24,HOTUSDT,0.0006917,0.0007198,0.0006492,0.0006926,2088845328.0,1436166.7389422,12333
1611360000000,2021-01-23,HOTUSDT,0.000646,0.0007153,0.00063,0.0006917,2702728313.0,1830448.9971327,13482
